Temporada,Jugador,Destino,RTG,SVD (€M),Costo Real (€M),Desviación %,Clasificación
2017,Kylian Mbappé,PSG,85.4,61.3,180.0,-66.0,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Philippe Coutinho,Barcelona,91.6,108.8,135.0,-19.4,🟠 Ligero Sobreprecio
2017,Cristiano Ronaldo,Juventus,84.1,67.7,117.0,-42.2,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Naldo,Juventus,76.5,33.9,117.0,-71.1,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Virgil van Dijk,Liverpool,82.5,53.2,84.7,-37.2,🟠 Ligero Sobreprecio
2017,Thomas Lemar,Atlético,71.1,21.2,72.0,-70.5,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Riyad Mahrez,Man City,76.6,48.2,67.8,-28.9,🟠 Ligero Sobreprecio
2017,Aymeric Laporte,Man City,74.6,27.1,65.0,-58.3,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Pierre-Emerick Aubameyang,Arsenal,76.8,37.5,63.8,-41.1,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Naby Keïta,Liverpool,82.1,50.7,60.0,-15.5,🟠 Ligero Sobreprecio
2017,Diego Costa,Atlético,50.6,2.7,60.0,-95.6,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Jorginho,Chelsea,89.4,93.1,57.0,63.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Fabinho,Liverpool,85.4,63.1,45.0,40.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Patrik Schick,Roma,42.3,0.6,42.0,-98.5,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Malcom,Barcelona,79.3,43.6,41.0,6.3,🟢 Categoría A: Tasación de Precisión
2017,João Cancelo,Juventus,87.1,69.8,40.4,72.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Douglas Costa,Juventus,86.6,75.3,40.0,88.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Gonçalo Guedes,Valencia,73.9,31.7,40.0,-20.8,🟠 Ligero Sobreprecio
2017,Cédric Bakambu,BJ Guoan,58.1,6.3,40.0,-84.1,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Richarlison,Everton,46.4,2.4,39.2,-94.0,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Felipe Anderson,West Ham,88.0,75.1,38.0,97.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Radja Nainggolan,Inter,67.4,18.7,38.0,-50.7,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Mattia Caldara,AC Milan,62.4,9.9,37.7,-73.8,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Thilo Kehrer,PSG,62.6,10.3,37.0,-72.0,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Clément Lenglet,Barcelona,64.3,13.2,35.9,-63.4,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Leonardo Bonucci,Juventus,67.1,17.2,35.0,-50.9,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Alexis Sánchez,Man Utd,90.8,110.1,34.0,223.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Henrikh Mkhitaryan,Arsenal,75.1,22.7,34.0,-33.4,🟠 Ligero Sobreprecio
2017,Iñigo Martínez,Athletic Club,70.2,18.0,32.0,-43.8,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Álvaro Odriozola,Real Madrid,58.3,7.3,32.0,-77.2,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Jefferson Lerma,Bournemouth,73.4,26.7,30.5,-12.6,🟢 Categoría A: Tasación de Precisión
2017,Fabián Ruiz Peña,Napoli,87.9,83.9,30.0,179.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Yannick Carrasco,DL Yifang,57.8,4.1,30.0,-86.3,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Lucas Torreira,Arsenal,87.4,86.4,28.6,201.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Abdou Diallo,Dortmund,62.5,10.3,28.0,-63.2,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Steven Nzonzi,Roma,78.2,39.2,26.6,47.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Jannik Vestergaard,Southampton,74.4,31.2,25.0,25.0,🔵 Negocio Favorable (Leve Gema)
2017,Kevin Strootman,Marseille,73.1,26.4,25.0,5.6,🟢 Categoría A: Tasación de Precisión
2017,Issa Diop,West Ham,60.6,7.9,25.0,-68.4,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Andre-Frank Zambo Anguissa,Fulham,87.7,68.3,24.9,174.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Yuri Berchiche,Athletic Club,68.1,13.3,24.8,-46.2,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Javier Pastore,Roma,76.8,29.2,24.7,18.1,🔵 Negocio Favorable (Leve Gema)
2017,Simone Verdi,Napoli,64.2,14.4,24.5,-41.2,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Alassane Pléa,Mönchengladbach,64.2,12.6,23.0,-45.4,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,André Ayew,Swansea,44.7,1.0,22.8,-95.6,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Nikola Kalinić,AC Milan,60.5,8.8,22.5,-61.1,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Theo Walcott,Everton,47.9,2.3,22.5,-90.0,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Cenk Tosun,Everton,48.8,1.7,22.5,-92.4,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Geoffrey Kondogbia,Valencia,84.4,65.6,22.0,198.1,💎 Categoría B: Ineficiencia Explotada (Gema)
