Temporada,Jugador,Destino,RTG,SVD (€M),Costo Real (€M),Desviación %,Clasificación
2017,Philippe Coutinho,Barcelona,91.6,108.8,135.0,-19.4,🟠 Ligero Sobreprecio
2017,Arturo Vidal,Barcelona,91.4,89.7,18.0,398.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Alexis Sánchez,Man Utd,90.8,110.1,34.0,223.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Rodri,Atlético,90.2,105.1,20.0,425.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Jorginho,Chelsea,89.4,93.1,57.0,63.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Felipe Anderson,West Ham,88.0,75.1,38.0,97.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Fabián Ruiz Peña,Napoli,87.9,83.9,30.0,179.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Andre-Frank Zambo Anguissa,Fulham,87.7,68.3,24.9,174.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Lucas Torreira,Arsenal,87.4,86.4,28.6,201.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,João Cancelo,Juventus,87.1,69.8,40.4,72.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Douglas Costa,Juventus,86.6,75.3,40.0,88.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Jonathan Viera,BJ Guoan,85.5,71.7,11.0,552.1,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Fabinho,Liverpool,85.4,63.1,45.0,40.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Kylian Mbappé,PSG,85.4,61.3,180.0,-66.0,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Marc Bartra,Real Betis,84.5,54.6,10.5,420.1,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Geoffrey Kondogbia,Valencia,84.4,65.6,22.0,198.1,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Cristiano Ronaldo,Juventus,84.1,67.7,117.0,-42.2,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Yves Bissouma,Brighton,84.1,47.1,16.8,180.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Salif Sané,FC Schalke 04,83.7,63.3,7.0,804.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Guido Pizarro,Tigres UANL,83.6,55.1,8.7,533.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Tanguy Ndombele,Lyon,82.9,48.2,8.0,502.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Virgil van Dijk,Liverpool,82.5,53.2,84.7,-37.2,🟠 Ligero Sobreprecio
2017,Rémy Cabella,Saint-Étienne,82.4,50.7,6.0,745.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Nuri Şahin,Werder Bremen,82.2,45.7,1.0,4473.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Adam Masina,Watford,82.1,55.8,5.0,1015.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Naby Keïta,Liverpool,82.1,50.7,60.0,-15.5,🟠 Ligero Sobreprecio
2017,João Moutinho,Wolves,81.2,45.3,5.6,709.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Jonny Castro,Atlético,79.7,48.9,7.0,599.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Malcom,Barcelona,79.3,43.6,41.0,6.3,🟢 Categoría A: Tasación de Precisión
2017,Sokratis Papastathopoulos,Arsenal,79.3,42.9,16.0,168.1,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Mathieu Dossevi,Toulouse,79.0,40.6,2.5,1524.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Mathieu Dossevi,FC Metz,79.0,40.6,3.0,1253.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Mitchell Weiser,Leverkusen,79.0,39.5,12.0,229.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Kévin Malcuit,Napoli,78.6,31.9,12.0,165.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Federico Viviani,SPAL,78.3,41.1,3.3,1145.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Jeison Murillo,Valencia,78.2,34.1,12.0,184.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Steven Nzonzi,Roma,78.2,39.2,26.6,47.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Emre Çolak,Al-Wehda,78.0,38.1,1.0,3707.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Maxime Le Marchand,Fulham,77.8,33.0,4.0,725.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Diego Rico,Bournemouth,77.6,36.9,15.0,145.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Naïm Sliti,Dijon,77.2,34.2,2.0,1612.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Martín Montoya,Brighton,76.9,34.5,7.0,393.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Javier Pastore,Roma,76.8,29.2,24.7,18.1,🔵 Negocio Favorable (Leve Gema)
2017,Pierre-Emerick Aubameyang,Arsenal,76.8,37.5,63.8,-41.1,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Riyad Mahrez,Man City,76.6,48.2,67.8,-28.9,🟠 Ligero Sobreprecio
2017,Benjamin Henrichs,Monaco,76.6,29.6,20.0,47.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Naldo,Juventus,76.5,33.9,117.0,-71.1,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Jordan Amavi,Marseille,76.5,28.5,10.0,184.9,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Sebastian Rudy,FC Schalke 04,76.2,30.3,16.0,89.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Germán Pezzella,Fiorentina,75.8,35.1,9.8,260.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Lucas Castro,Cagliari,75.4,30.6,5.9,419.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Ibrahim Amadou,Sevilla FC,75.3,27.4,14.4,90.1,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Riccardo Saponara,Fiorentina,75.2,20.0,9.0,121.9,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Henrikh Mkhitaryan,Arsenal,75.1,22.7,34.0,-33.4,🟠 Ligero Sobreprecio
2017,Mikel Merino,Real Sociedad,74.7,30.4,12.0,153.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Mikel Merino,Newcastle,74.7,30.4,7.0,333.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Aymeric Laporte,Man City,74.6,27.1,65.0,-58.3,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2017,Arnaud Souquet,KAA Gent,74.6,25.2,3.0,741.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Jannik Vestergaard,Southampton,74.4,31.2,25.0,25.0,🔵 Negocio Favorable (Leve Gema)
2017,Rafael,Lille,74.1,22.5,20.2,11.3,🟢 Categoría A: Tasación de Precisión
2017,Gonçalo Guedes,Valencia,73.9,31.7,40.0,-20.8,🟠 Ligero Sobreprecio
2017,Jefferson Lerma,Bournemouth,73.4,26.7,30.5,-12.6,🟢 Categoría A: Tasación de Precisión
2017,Sergi Gómez,Sevilla FC,73.4,28.1,5.5,410.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Davide Santon,Roma,73.4,15.3,9.5,61.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Silvan Widmer,Basel,73.3,24.1,4.5,434.9,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Bartosz Salamon,SPAL,73.3,24.3,2.0,1114.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Charles Traore,FC Nantes,73.2,24.4,0.5,4790.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2017,Andriy Yarmolenko,West Ham,73.2,24.5,20.0,22.4,🔵 Negocio Favorable (Leve Gema)
2018,Julian Brandt,Dortmund,91.0,113.6,25.0,354.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Téji Savanier,Montpellier,90.0,84.4,9.5,788.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Kerem Demirbay,Leverkusen,89.1,92.1,32.0,187.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Pablo Sarabia,PSG,89.0,100.5,18.0,458.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Allan,Salzburg,88.3,85.7,8.0,971.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Rodri,Man City,87.9,84.8,70.0,21.1,🔵 Negocio Favorable (Leve Gema)
2018,Mats Hummels,Dortmund,87.4,70.4,30.5,131.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Sébastien Haller,West Ham,86.4,78.5,50.0,57.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Kieran Trippier,Atlético,86.4,81.4,22.0,270.1,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Rubén Peña,Villarreal,86.3,73.7,8.0,821.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Eden Hazard,Real Madrid,86.1,97.3,120.8,-19.5,🟠 Ligero Sobreprecio
2018,Ismaël Bennacer,AC Milan,86.0,76.7,17.2,346.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Nabil Fekir,Real Betis,85.8,62.0,19.8,213.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Tanguy Ndombele,Tottenham,85.3,59.8,62.0,-3.5,🟢 Categoría A: Tasación de Precisión
2018,Thiago Mendes,Lyon,84.7,60.3,22.0,174.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,João Cancelo,Man City,83.2,54.1,65.0,-16.8,🟠 Ligero Sobreprecio
2018,Harry Maguire,Man Utd,82.5,64.4,87.0,-26.0,🟠 Ligero Sobreprecio
2018,Erick Pulgar,Fiorentina,82.1,53.8,12.3,337.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,William,Arsenal,82.1,54.9,30.0,83.1,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Idrissa Gana Gueye,PSG,81.8,64.0,30.0,113.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Leandro Paredes,PSG,81.7,37.7,40.0,-5.8,🟢 Categoría A: Tasación de Precisión
2018,Benjamin André,Lille,81.4,44.2,7.0,531.9,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Ramy Bensebaini,Mönchengladbach,81.3,41.0,8.0,412.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Manuel Locatelli,Sassuolo,81.3,47.1,14.0,236.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Luka Jović,Real Madrid,80.9,53.3,63.0,-15.4,🟠 Ligero Sobreprecio
2018,Luka Jović,Frankfurt,80.9,53.3,22.3,138.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Sanjin Prcić,R. Strasbourg,80.9,34.4,1.0,3337.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Naïm Sliti,Al-Ettifaq,80.5,44.1,5.0,783.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Nicolas Pépé,Arsenal,80.2,49.4,80.0,-38.3,🟠 Ligero Sobreprecio
2018,Wissam Ben Yedder,Monaco,80.1,54.1,40.0,35.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Ellyes Skhiri,1.FC Köln,80.0,42.7,6.0,611.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2018,Thorgan Hazard,Dortmund,79.6,52.5,25.5,106.0,💎 Categoría B: Ineficiencia Explotada (Gema)
