Player,Squad,Pos,PosAdj,Rol_Ideal,Rating_Final,R_FW_ST,R_FW_WG,R_FW_SS,R_DC,R_LB_OFF
Kevin De Bruyne,Manchester City,MF,MF,AM,95.79,92.55000000000003,88.80000000000001,95.71200000000002,21.985,75.9825
Jack Grealish,Aston Villa,FWMF,AM,AM,93.51249999999999,84.74499999999999,80.25049999999999,90.089,54.44999999999999,77.505
Trent Alexander-Arnold,Liverpool,DF,DF,LB_OFF,92.5125,82.2,82.25200000000001,90.945,42.99000000000001,92.5125
Bruno Fernandes,Manchester Utd,MF,MF,AM,92.47000000000001,92.35000000000002,79.207,89.827,27.269999999999996,70.13499999999999
Thiago Alcántara,Liverpool,MF,MF,MC_EST,91.71000000000001,59.150000000000006,61.22349999999999,71.73199999999999,67.41000000000001,76.05
Gareth Bale,Tottenham,FW,FW,FW_SS,89.705,86.01999999999998,84.32,89.705,82.38499999999999,89.70750000000001
Mason Mount,Chelsea,MF,MF,AM,88.4975,87.25999999999999,81.7615,89.36399999999999,31.26,69.03
İlkay Gündoğan,Manchester City,MF,MF,AM,86.68249999999998,88.31749999999998,80.59849999999999,88.43800000000002,37.37499999999999,61.467499999999994
João Cancelo,Manchester City,DFMF,DM,LB_OFF,85.99249999999999,83.34500000000001,82.9515,91.737,59.48,85.99249999999999
Hakim Ziyech,Chelsea,MFFW,AM,AM,85.51500000000001,60.715,65.5835,76.92499999999998,47.41,81.635
Martin Ødegaard,Arsenal,MF,MF,AM,85.03249999999998,75.77500000000002,72.9605,81.76299999999999,13.814999999999998,58.1775
Rodri,Manchester City,MF,MF,MC_EST,84.805,63.7025,58.06549999999999,65.904,78.33999999999999,71.63999999999999
Dani Ceballos,Arsenal,MF,MF,MC_EST,84.52,52.225,57.70699999999999,67.53899999999999,58.555,82.06
Fred,Manchester Utd,MF,MF,MC_EST,84.50999999999999,55.45250000000001,54.3405,62.94799999999999,62.550000000000004,70.2475
Raphinha,Leeds United,MFFW,AM,AM,84.45499999999998,75.7375,75.98899999999999,82.08800000000002,53.83499999999999,79.4475
Ahmed Elmohamady,Aston Villa,DF,DF,LB_OFF,84.34999999999998,59.9075,58.107,70.714,63.99499999999999,84.34999999999998
Alex Telles,Manchester Utd,DF,DF,LB_OFF,84.16499999999999,50.9125,56.23299999999999,69.89,53.260000000000005,84.16499999999999
James Maddison,Leicester City,MF,MF,AM,83.46999999999998,84.9775,78.41699999999999,85.51300000000002,9.114999999999998,56.395
Sadio Mané,Liverpool,FW,FW,FW_SS,83.196,74.75249999999998,76.50949999999999,83.196,55.56999999999999,85.045
Mohamed Salah,Liverpool,FW,FW,FW_ST,82.93750000000001,82.93750000000001,70.645,82.07100000000001,34.135000000000005,69.59749999999998
Marc Albrighton,Leicester City,DFFW,MF,AM,82.53999999999999,71.135,75.1045,80.315,35.230000000000004,71.52
Xherdan Shaqiri,Liverpool,MFFW,AM,AM,82.41499999999998,43.09,46.92549999999999,63.918,46.945,80.6025
Rodrigo,Leeds United,MFFW,AM,AM,82.25749999999998,86.04,71.726,81.31400000000001,57.23,62.8175
Tom Cairney,Fulham,MF,MF,AM,82.23249999999999,71.17500000000001,75.8925,80.55900000000001,30.185,66.165
Nemanja Matić,Manchester Utd,MF,MF,MC_EST,81.875,44.4475,44.71950000000001,50.48599999999999,74.10000000000001,70.2025
Jorginho,Chelsea,MF,MF,MC_EST,81.605,53.025000000000006,42.397,58.249,68.485,68.2375
Mateusz Klich,Leeds United,MF,MF,AM,81.345,76.55499999999999,63.353,77.01100000000001,29.365,60.207499999999996
Liam Cooper,Leeds United,DF,DF,LB_DEF,81.31,59.445,45.709,46.257000000000005,74.03500000000001,59.61
Ross Barkley,Aston Villa,MF,MF,AM,81.24,83.80250000000002,75.49,82.52499999999999,21.734999999999992,44.945
Fernandinho,Manchester City,MF,MF,MC_EST,81.065,48.5025,50.05899999999999,57.90700000000001,73.615,69.37
Luke Ayling,Leeds United,DF,DF,LB_OFF,80.90749999999998,59.31,64.48349999999999,70.608,51.190000000000005,80.90749999999998
Andrew Robertson,Liverpool,DF,DF,LB_OFF,80.7575,71.39,76.5485,85.706,33.42,80.7575
Mateo Kovačić,Chelsea,MF,MF,MC_EST,80.545,48.34250000000001,51.58549999999999,60.87200000000001,48.714999999999996,65.6325
Youri Tielemans,Leicester City,MF,MF,AM,80.32,78.25000000000001,71.87349999999999,78.99400000000003,52.785000000000004,77.02249999999998
Harry Kane,Tottenham,FW,FW,FW_SS,80.143,79.10249999999998,72.34750000000001,80.143,52.505,71.36999999999999
Raheem Sterling,Manchester City,FW,FW,FW_SS,79.89600000000002,69.475,73.86749999999999,79.89600000000002,42.49999999999999,71.955
Rúben Neves,Wolves,MF,MF,MC_EST,79.49,63.5625,51.26049999999999,60.47899999999999,76.3,68.62499999999999
Riyad Mahrez,Manchester City,FW,FW,FW_SS,79.31999999999998,67.3225,70.33499999999998,79.31999999999998,54.92999999999999,81.985
Thomas Partey,Arsenal,MF,MF,MC_EST,79.23000000000002,46.135,45.49999999999999,49.014,68.05,61.575
Bernard,Everton,MFFW,AM,AM,79.17999999999999,52.957499999999996,60.49099999999999,69.524,58.025,80.515
Wilfred Ndidi,Leicester City,MFDF,DM,LB_DEF,78.88749999999999,48.57500000000001,40.40849999999999,44.69800000000001,78.1,54.4875
Luke Shaw,Manchester Utd,DF,DF,LB_OFF,78.36999999999999,67.6675,75.8355,83.888,35.25,78.36999999999999
Curtis Jones,Liverpool,MF,MF,AM,78.2075,77.8325,72.2695,77.36500000000001,43.019999999999996,64.3375
Reece James,Chelsea,DF,DF,LB_OFF,78.005,76.24499999999999,78.3625,85.53699999999999,43.25000000000001,78.005
Phil Foden,Manchester City,FWMF,AM,FW_SS,77.84700000000004,86.1175,76.42250000000001,77.84700000000004,55.629999999999995,60.0
Jordan Henderson,Liverpool,MFDF,DM,MC_DEF,77.14999999999999,62.60000000000001,51.14599999999999,60.535,63.20000000000001,66.445
James Rodríguez,Everton,FWMF,AM,AM,77.0025,63.71000000000001,61.37049999999999,71.318,59.99999999999999,75.32000000000001
César Azpilicueta,Chelsea,DF,DF,LB_OFF,76.38749999999999,66.41000000000003,62.784000000000006,73.788,48.754999999999995,76.38749999999999
Patrick van Aanholt,Crystal Palace,DF,DF,LB_OFF,76.36250000000001,64.8875,64.77799999999999,72.452,40.65,76.36250000000001
Matt Targett,Aston Villa,DF,DF,LB_OFF,76.11750000000002,51.2925,56.141,67.22,49.339999999999996,76.11750000000002
Joël Veltman,Brighton,DF,DF,LB_OFF,76.08000000000001,57.7025,64.833,70.558,46.945,76.08000000000001
Robin Koch,Leeds United,DFMF,DM,DC,75.72,38.70000000000001,26.439999999999998,27.221,75.72,44.79249999999999
Kelechi Iheanacho,Leicester City,FW,FW,FW_SS,75.399,70.6175,70.27649999999998,75.399,29.320000000000004,62.9175
Giovani Lo Celso,Tottenham,MF,MF,AM,75.38250000000001,79.07000000000001,61.24750000000001,71.30199999999999,40.24,60.894999999999996
Antonee Robinson,Fulham,DF,DF,LB_OFF,74.9825,54.7775,66.96299999999998,72.64099999999999,49.56499999999999,74.9825
Aaron Wan-Bissaka,Manchester Utd,DF,DF,LB_OFF,74.9275,64.63,70.06900000000002,75.136,44.190000000000005,74.9275
Marcus Rashford,Manchester Utd,FW,FW,FW_SS,74.926,62.364999999999995,70.496,74.926,50.28999999999999,71.2225
Conor Townsend,West Brom,DF,DF,LB_OFF,74.85,58.67,58.00249999999999,67.409,44.64999999999999,74.85
Diogo Jota,Liverpool,FW,FW,FW_ST,74.79,74.79,65.7805,67.12500000000001,48.31500000000001,67.09
Jack Harrison,Leeds United,MFFW,AM,AM,74.18249999999999,73.3575,62.63849999999999,69.56000000000002,52.864999999999995,66.66749999999999
Sergio Agüero,Manchester City,FW,FW,FW_SS,74.13400000000001,73.79500000000002,68.1925,74.13400000000001,22.23,52.9625
Oleksandr Zinchenko,Manchester City,DF,DF,LB_OFF,73.9425,55.434999999999995,56.099999999999994,67.30400000000002,50.54999999999999,73.9425
Pierre Højbjerg,Tottenham,MF,MF,MC_DEF,73.83000000000001,40.322500000000005,34.512499999999996,35.165,73.83,53.56999999999999
N'Golo Kanté,Chelsea,MF,MF,MC_DEF,73.81500000000001,32.195,39.682500000000005,42.048,67.395,56.55
Leandro Trossard,Brighton,MFFW,AM,AM,73.73249999999999,59.95,56.49,64.92600000000002,39.265,70.15249999999999
Eberechi Eze,Crystal Palace,MF,MF,AM,73.605,72.8625,73.64850000000001,76.025,17.760000000000005,52.815
Callum Hudson-Odoi,Chelsea,FWDF,FW,FW_SS,73.57,48.88,59.452,73.57,61.05,94.72
Michail Antonio,West Ham,FW,FW,FW_ST,73.38499999999999,73.38499999999999,65.39750000000001,66.32000000000001,34.39,48.8825
Matheus Pereira,West Brom,MFFW,AM,AM,73.36249999999998,66.50000000000001,58.64950000000001,69.545,55.010000000000005,69.80749999999999
Saïd Benrahma,West Ham,FWMF,AM,AM,73.3225,58.03999999999999,63.81549999999999,71.054,40.67499999999999,73.94749999999999
Fabinho,Liverpool,DFMF,DM,MC_DEF,72.6,27.7225,27.32,30.539000000000005,66.0,50.0175
Roberto Firmino,Liverpool,FW,FW,FW_SS,72.55099999999997,60.8875,63.306999999999995,72.55099999999997,45.725,71.9475
Matthew Lowton,Burnley,DF,DF,LB_OFF,72.33,49.83250000000001,58.520499999999984,67.35600000000001,45.324999999999996,72.33
Alireza Jahanbakhsh,Brighton,FWMF,AM,AM,72.1825,56.832499999999996,56.904,63.454,53.165,73.26749999999998
Vitinha,Wolves,MF,MF,AM,72.03749999999998,66.28999999999999,69.77899999999998,75.325,19.1,52.93249999999999
Wesley Fofana,Leicester City,DF,DF,LB_DEF,71.9525,39.040000000000006,40.29749999999999,43.13999999999999,70.935,60.72749999999999
Serge Aurier,Tottenham,DF,DF,LB_OFF,71.5975,79.32749999999999,77.95,81.91900000000003,39.94499999999999,71.5975
Naby Keïta,Liverpool,MF,MF,AM,71.51249999999999,57.14000000000001,54.2715,62.185,35.69,63.44499999999999
Vladimír Coufal,West Ham,DF,DF,LB_OFF,71.14,62.31750000000001,65.0265,74.09700000000001,38.565000000000005,71.14
Jesse Lingard,West Ham,MFFW,AM,FW_SS,70.87900000000002,72.73000000000002,64.58299999999998,70.87900000000002,23.474999999999998,58.25750000000001
James Milner,Liverpool,MFDF,DM,LB_OFF,70.68749999999999,50.00000000000001,52.83999999999998,62.48000000000002,56.655,70.68749999999999
Pascal Struijk,Leeds United,DFMF,DM,DC,70.64,43.5225,29.147000000000002,26.216,70.64,41.8375
Ben Chilwell,Chelsea,DF,DF,LB_OFF,70.615,90.2075,83.35699999999999,88.97000000000003,28.825000000000003,70.615
Aaron Cresswell,West Ham,DF,DF,LB_OFF,70.4225,50.97,55.88049999999999,68.927,33.745,70.4225
