Szn	Player	Nation	Pos	PosAdj	Squad	League	Age																																																																																														RTG_Principal	Valor_Deportivo	Precio_Mercado	Rol_Principal	Rol_1	Rol_2	Rol_3	RTG_1	RTG_2	RTG_3
2020	Kevin De Bruyne	BEL	MF	MF	Manchester City	Premier League	29																																																																																														95.3667120756997	346940000	629000000	AM	AM	MC_ORG	MC_EST	95.3667120756997	71.1936590972486	71.1088628614768
2020	Jack Grealish	ENG	FWMF	AM	Aston Villa	Premier League	24																																																																																														92.6877898493217	318510000	493920000	AM	AM	FW_SS	FW_WG	92.6877898493217	78.489477164872	75.1930651462761
2020	Gareth Bale	WAL	FW	FW	Tottenham	Premier League	31																																																																																														92.4099835542974	315660000	228850000	FW_ST	FW_ST	FW_SS	FW_WG	92.4099835542974	86.0862977939103	85.2411111070051
2020	Bruno Fernandes	POR	MF	MF	Manchester Utd	Premier League	25																																																																																														91.4076543688398	305500000	666160000	AM	AM	MC_ORG	MC_EST	91.4076543688398	70.4378107532606	70.4346685263332
2020	Raphinha	BRA	MFFW	AM	Leeds United	Premier League	23																																																																																														86.054922708496	254910000	404740000	AM	AM	FW_SS	FW_WG	86.054922708496	70.2096628492037	69.9605331913481
2020	Thiago Alcántara	ESP	MF	MF	Liverpool	Premier League	29																																																																																														85.9547432177254	254020000	311240000	MC_ORG	MC_ORG	MC_DEF	MC_EST	85.9547432177254	79.9693115357017	69.6011513697421
2020	Mason Mount	ENG	MF	MF	Chelsea	Premier League	21																																																																																														85.4632709918161	249690000	615540000	AM	AM	MC_EST	MC_ORG	85.4632709918161	65.4843213077182	65.2015399226389
2020	Hakim Ziyech	MAR	MFFW	AM	Chelsea	Premier League	27																																																																																														84.7882669317018	243820000	390880000	AM	AM	FW_SS	MC_EST	84.7882669317018	63.8854387656025	59.9851998742676
2020	Rodrigo	ESP	MFFW	AM	Leeds United	Premier League	29																																																																																														84.695969243193	243020000	317420000	AM	AM	FW_SS	FW_ST	84.695969243193	76.426862869413	74.6881587620547
2020	Harry Kane	ENG	FW	FW	Tottenham	Premier League	27																																																																																														84.3179286665781	239780000	500910000	FW_ST	FW_ST	FW_WG	FW_SS	84.3179286665781	77.1896510892819	74.1619528627559
2020	Sadio Mané	SEN	FW	FW	Liverpool	Premier League	28																																																																																														81.6079090741841	217400000	439110000	FW_SS	FW_SS	FW_WG	FW_ST	81.6079090741841	71.8128801737922	66.9889113445392
2020	James Rodríguez	COL	FWMF	AM	Everton	Premier League	29																																																																																														80.9257796246467	211990000	297420000	AM	AM	MC_ORG	MC_EST	80.9257796246467	68.6906139383701	64.4390528646458
2020	Dani Ceballos	ESP	MF	MF	Arsenal	Premier League	23																																																																																														80.6505702182992	209840000	258650000	MC_ORG	MC_ORG	MC_DEF	MC_EST	80.6505702182992	71.6603130513205	64.3574581793534
2020	João Cancelo	POR	DFMF	DM	Manchester City	Premier League	26																																																																																														72.8561975996248	154690000	304520000	AM	LB_OFF	LB_DEF	MC_ORG	80.3494644183779	77.0522021699308	76.5973377314579
2020	Trent Alexander-Arnold	ENG	DF	DF	Liverpool	Premier League	21																																																																																														80.2769945224423	206930000	322200000	LB_OFF	LB_OFF	LB_DEF		80.2769945224423	64.1043916782855	
2020	Rodri	ESP	MF	MF	Manchester City	Premier League	24																																																																																														79.0524954319872	197610000	284500000	MC_ORG	MC_ORG	MC_DEF	MC_EST	79.0524954319872	76.6965985576386	65.0394794718588
2020	Martin Ødegaard	NOR	MF	MF	Arsenal	Premier League	21																																																																																														79.0062485908211	197260000	259220000	AM	AM	MC_ORG	MC_EST	79.0062485908211	56.8937013232724	54.5146218658924
2020	Mateo Kovačić	CRO	MF	MF	Chelsea	Premier League	26																																																																																														78.9595697822372	196910000	249920000	MC_ORG	MC_ORG	MC_DEF	MC_EST	78.9595697822372	68.4393070395229	60.9288403768933
2020	James Maddison	ENG	MF	MF	Leicester City	Premier League	23																																																																																														78.4929020766841	193440000	296440000	AM	AM	MC_EST	MC_ORG	78.4929020766841	55.7082333754901	52.8663334681171
2020	Jorginho	ITA	MF	MF	Chelsea	Premier League	28																																																																																														78.0259370772499	190010000	238010000	MC_DEF	MC_DEF	MC_ORG	MC_EST	78.0259370772499	75.1297027430318	61.993261199558
2020	Mohamed Salah	EGY	FW	FW	Liverpool	Premier League	28																																																																																														77.850132334155	188730000	394070000	FW_SS	FW_SS	FW_ST	FW_WG	77.850132334155	74.9085723942209	68.786594730754
2020	Nemanja Matić	SRB	MF	MF	Manchester Utd	Premier League	31																																																																																														77.7146919836046	187750000	136930000	MC_ORG	MC_ORG	MC_DEF	MC_EST	77.7146919836046	75.0257728688875	59.2556798736592
